Title,genre,language,mood,poster_url
Khalifa,Action,Malayalam,Thriller,
Aavesham,Action,Malayalam,Comedy,
Aadujeevitham,Drama,Malayalam,Emotional,
Premalu,Romance,Malayalam,Feel Good,
Turbo,Action,Malayalam,Thriller,
ARM,Adventure,Malayalam,Fantasy,
RDX,Action,Malayalam,Thriller,
Kannur Squad,Thriller,Malayalam,Suspense,
2018,Drama,Malayalam,Inspirational,
Romancham,Horror,Malayalam,Comedy,
Minnal Murali,Fantasy,Malayalam,Adventure,
Hridayam,Romance,Malayalam,Feel Good,
Drishyam,Thriller,Malayalam,Suspense,
Jawan,Action,Hindi,Thriller,
12th Fail,Drama,Hindi,Inspirational,
Laapataa Ladies,Comedy,Hindi,Feel Good,
Dangal,Sports,Hindi,Inspirational,
3 Idiots,Comedy,Hindi,Inspirational,
Kalki 2898 AD,Sci-Fi,Telugu,Action,
RRR,Action,Telugu,Inspirational,
KGF,Action,Kannada,Thriller,
Kantara,Action,Kannada,Spiritual,
Parasite,Thriller,Korean,Suspense,
Train to Busan,Horror,Korean,Emotional,
Oldboy,Thriller,Korean,Dark,
My Neighbor Totoro,Fantasy,Japanese,Feel Good,
Weathering with You,Romance,Japanese,Emotional,
A Silent Voice,Drama,Japanese,Emotional,
The Intouchables,Drama,French,Inspirational,
Amélie,Romance,French,Feel Good,
Life Is Beautiful,Drama,Italian,Emotional,
Cinema Paradiso,Drama,Italian,Emotional,
The Platform,Thriller,Spanish,Dark,
Pan's Labyrinth,Fantasy,Spanish,Dark,
City of God,Crime,Portuguese,Thriller,
